Lat,Long,Road_Name,Road_Type,Address_Type,Category,assets
12.796555,80.021272,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,warning signs
12.795046,80.020296,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,street light
12.793592,80.019323,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,warning signs
12.790001,80.017028,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,street light
12.781964,80.012667,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.779812,80.01172,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.777725,80.010838,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.770133,80.007326,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,information signs
12.766036,80.005408,"SP Kovil Yard, 23, Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",parking,amenity,amenity,traffic lights
12.763868,80.004497,"Fortune Select Grand, 1, Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",hotel,tourism,tourism,electric poles
12.757137,80.002432,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,electric poles
12.753059,80.000121,"Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",tertiary,road,highway,information signs
12.751096,79.998814,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,information signs
12.749247,79.997342,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,street light
12.74555,79.994405,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.74555,79.994405,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.741998,79.991535,"Grand Southern Trunk Road, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,information signs
12.724588,79.982251,"Grand Southern Trunk Road, Paranur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",trunk,road,highway,information signs
12.722392,79.981537,"Grand Southern Trunk Road, Rajākulipettai, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",trunk,road,highway,warning signs
12.711256,79.978734,"Grand Southern Trunk Road, Rajākulipettai, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,electric poles
12.709089,79.977492,"Grand Southern Trunk Road, Natham, Pulippākkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.709089,79.977492,"Grand Southern Trunk Road, Natham, Pulippākkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,information signs
12.705469,79.97456,"Grand Southern Trunk Road, Natham, Pulippākkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.701326,79.969416,"Grand Southern Trunk Road, Natham, Thimmapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk_link,road,highway,traffic lights
12.697469,79.9672,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,warning signs
12.697469,79.9672,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,street light
12.693691,79.965188,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,mandatory signs
12.685681,79.959317,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,warning signs
12.684891,79.959075,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,mandatory signs
12.684891,79.959075,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,warning signs
12.682063,79.958519,"Grand Southern Trunk Road, Garden City, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.677238,79.958585,"Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,mandatory signs
12.672678,79.958665,"Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,information signs
12.668296,79.958761,"Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,electric poles
12.668296,79.958761,"Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.664172,79.960529,"SCAD World School (CBSE), 45, Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603111, India",school,amenity,amenity,information signs
12.661947,79.961164,"Grand Southern Trunk Road, Palaveli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,warning signs
12.658153,79.95926,"Grand Southern Trunk Road, Vedanārāyanapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.655738,79.952993,"Grand Southern Trunk Road, Vedanārāyanapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,information signs
12.656157,79.950818,"Grand Southern Trunk Road, Irunkunrapalli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,warning signs
12.657324,79.946719,"Grand Southern Trunk Road, Irunkunrapalli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,warning signs
12.657324,79.946719,"Grand Southern Trunk Road, Irunkunrapalli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,information signs
12.656077,79.941901,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,mandatory signs
12.653916,79.942239,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,mandatory signs
12.651766,79.941969,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,electric poles
12.630791,79.931575,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,information signs
12.630791,79.931575,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,electric poles
12.628494,79.930584,"Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",residential,road,highway,mandatory signs
12.624184,79.928729,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,street light
12.624184,79.928729,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,electric poles
12.622224,79.927889,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,mandatory signs
12.620168,79.927159,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,electric poles
12.615635,79.925932,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.613563,79.924807,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.611517,79.923634,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,information signs
12.605253,79.920768,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.600634,79.920036,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.593493,79.919307,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,mandatory signs
12.586458,79.919519,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.573016,79.916544,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.566076,79.914688,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,mandatory signs
12.558008,79.910184,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.558008,79.910184,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,mandatory signs
12.556565,79.909357,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.554666,79.908276,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.543341,79.904965,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.541036,79.904535,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.538751,79.904113,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.538751,79.904113,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,information signs
12.534756,79.901778,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,information signs
12.530507,79.899774,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.526309,79.897648,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.524034,79.896632,"Grand Southern Trunk Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk,road,highway,warning signs
12.517021,79.890442,"Grand Southern Trunk Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk,road,highway,electric poles
12.509666,79.884816,"Chennai - Trichy - Dindugal Road (Old NH45), Gandhi Nagar, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",primary,road,highway,electric poles
12.509666,79.884816,"Chennai - Trichy - Dindugal Road (Old NH45), Gandhi Nagar, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",primary,road,highway,warning signs
12.516883,79.887983,"Madurantakam - Vennangupet Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk_link,road,highway,street light
12.518274,79.89167,"Grand Southern Trunk Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk,road,highway,mandatory signs
12.519849,79.893262,"Grand Southern Trunk Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk,road,highway,information signs
12.519849,79.893262,"Grand Southern Trunk Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603306, India",trunk,road,highway,warning signs
12.525591,79.897179,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.531729,79.90024,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,mandatory signs
12.533717,79.901075,"Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",unclassified,road,highway,street light
12.535888,79.902284,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.535888,79.902284,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.543551,79.904835,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.544251,79.904965,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.546179,79.905313,"Thirumukkudal - Nelvoy - Thirukazhukundram Road, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",secondary,road,highway,traffic lights
12.554801,79.908159,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.559018,79.910573,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.563206,79.91303,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.569897,79.915546,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,information signs
12.572158,79.916154,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.574589,79.916705,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.576887,79.917167,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,mandatory signs
12.588822,79.919274,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,information signs
12.593799,79.919159,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.593799,79.919159,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.605689,79.920737,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,street light
12.60793,79.921399,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.60793,79.921399,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.610107,79.922633,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.614301,79.925073,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,electric poles
12.614301,79.925073,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,traffic lights
12.616414,79.926094,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603303, India",trunk,road,highway,warning signs
12.618631,79.926673,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,traffic lights
12.621043,79.927266,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,electric poles
12.625384,79.929079,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,mandatory signs
12.625384,79.929079,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,information signs
12.627557,79.930026,"Grand Southern Trunk Road, Bukkathurai, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,warning signs
12.631252,79.93158,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,traffic lights
12.633258,79.932462,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,traffic lights
12.635534,79.933484,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,electric poles
12.637539,79.934687,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,traffic lights
12.641655,79.937271,"Grand Southern Trunk Road, Māmandūr, Maduranthakam, Chengalpattu District, Tamil Nadu, 603308, India",trunk,road,highway,mandatory signs
12.653916,79.940029,"Grand Southern Trunk Road, Vadapattu, Maduranthakam, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,warning signs
12.657813,79.941476,"Grand Southern Trunk Road, Vadapattu, Maduranthakam, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,warning signs
12.656141,79.951721,"Grand Southern Trunk Road, Irunkunrapalli, Chengalpattu, Chengalpattu District, Tamil Nadu, 603201, India",trunk,road,highway,street light
12.66477,79.968914,"Chennai - Trichy - Dindugal Road (Old NH45), Vedanārāyanapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,warning signs
12.666115,79.970296,"Chennai - Trichy - Dindugal Road (Old NH45), Vedanārāyanapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,mandatory signs
12.667518,79.972042,"Chennai - Trichy - Dindugal Road (Old NH45), Vedanārāyanapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,electric poles
12.696756,79.976834,"Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",unclassified,road,highway,information signs
12.697349,79.976465,"Chennai - Trichy - Dindugal Road (Old NH45), Vedachalam Nagar, Gokulapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,warning signs
12.697702,79.976182,"Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road, Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,street light
12.697172,79.972959,"Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",residential,road,highway,information signs
12.697174,79.97278,"Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road, Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,street light
12.697246,79.972323,"Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",residential,road,highway,mandatory signs
12.697522,79.971618,"Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road, Natham, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",primary,road,highway,mandatory signs
12.703252,79.971392,"Grand Southern Trunk Road, Natham, Thimmapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,traffic lights
12.703252,79.971392,"Grand Southern Trunk Road, Natham, Thimmapuram, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,street light
12.706974,79.975984,"Grand Southern Trunk Road, Natham, Pulippākkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,information signs
12.71422,79.98012,"Grand Southern Trunk Road, Rajākulipettai, Chengalpattu, Chengalpattu District, Tamil Nadu, 603001, India",trunk,road,highway,mandatory signs
12.729431,79.98269,"Grand Southern Trunk Road, Kāndalūr, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",trunk,road,highway,mandatory signs
12.729431,79.98269,"Grand Southern Trunk Road, Kāndalūr, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",trunk,road,highway,electric poles
12.729431,79.98269,"Grand Southern Trunk Road, Kāndalūr, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",trunk,road,highway,warning signs
12.734727,79.985256,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,warning signs
12.734727,79.985256,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,street light
12.734727,79.985256,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,street light
12.744173,79.993056,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,electric poles
12.745215,79.993895,"Tirutteri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603004, India",residential,road,highway,street light
12.748661,79.996718,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,mandatory signs
12.780423,80.011834,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,mandatory signs
12.793861,80.019282,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.795164,80.020115,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,information signs
12.796396,80.020924,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.807471,80.028184,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,traffic lights
12.8219,80.037912,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,information signs
12.824217,80.039564,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Singaperumal Koil, Chengalpattu, Chengalpattu District, Tamil Nadu, 603204, India",trunk,road,highway,street light
12.826686,80.041408,"Grand Southern Trunk Road, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",trunk,road,highway,information signs
12.836011,80.051273,"Grand Southern Trunk Road, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",trunk,road,highway,warning signs
